reg_id,instrument_type,citation,cited_by,link,note
REG-019,Regulation,42 CFR 431.10,MD-21,https://www.ecfr.gov/current/title-42/section-431.10,Single State agency: the State plan must designate one agency to administer/supervise Medicaid; policy-making authority may not be delegated
REG-020,Regulation,42 CFR 433.135-139,PI-17,https://www.ecfr.gov/current/title-42/section-433.135-139,Medicaid third-party liability: states must identify legally liable third parties and pay Medicaid last (cost avoidance) before program funds are used.
REG-021,Regulation,42 CFR 435.1009,MD-22,https://www.ecfr.gov/current/title-42/section-435.1009,Inmate/institutional FFP exclusion (with 435.1010 definitions)
REG-022,Regulation,42 CFR 438.4-.7,MD-11,https://www.ecfr.gov/current/title-42/section-438.4-.7,"Medicaid managed-care rate setting: capitation rates must be actuarially sound (§438.4) per rate-development standards (§438.5), special contract provisions (§438.6) & rate certification (§438.7)"
REG-023,Regulation,42 CFR 438.608,MD-09; MD-10,https://www.ecfr.gov/current/title-42/section-438.608,"Sets the program-integrity duties a Medicaid managed care plan (MCO/PIHP/PAHP) must carry out under its state contract: adopt a compliance program, screen and enroll network providers to Part 455 standards, disclose ownership/prohibited affiliations, verify services were actually delivered, and report and return overpayments. Effect: pushes fraud-detection accountability onto the plan, not just the state."
REG-024,Regulation,42 CFR 455.104-.106,MD-03,https://www.ecfr.gov/current/title-42/section-455.104-.106,Disclosure of ownership & control interests
REG-025,Regulation,42 CFR 455.23,MD-18; PI-16,https://www.ecfr.gov/current/title-42/section-455.23,State agency must suspend Medicaid payments on a credible allegation of fraud
REG-026,Regulation,42 CFR 455.410,MD-01,https://www.ecfr.gov/current/title-42/section-455.410,All providers must be screened & enrolled
REG-027,Regulation,42 CFR 455.414,MD-02,https://www.ecfr.gov/current/title-42/section-455.414,Revalidation at least every 5 years
REG-028,Regulation,42 CFR 455.432,MD-05,https://www.ecfr.gov/current/title-42/section-455.432,Pre- and post-enrollment site visits for moderate- and high-risk Medicaid providers
REG-029,Regulation,42 CFR 455.436,MD-04; MD-08,https://www.ecfr.gov/current/title-42/section-455.436,State must screen against LEIE/DMF/exclusion databases (monthly federal databases check)
REG-030,Regulation (part),42 CFR Part 1007,MD-18,https://www.ecfr.gov/current/title-42/part-1007,"Governs State Medicaid Fraud Control Units (MFCUs) - the certified state agencies that investigate and prosecute Medicaid provider fraud and patient abuse/neglect. Sets certification, staffing, funding-match, and reporting rules a unit must meet to keep federal funding. (Ties to the NY MFCU decertification flagged in current feeds.)"
REG-031,Regulation (part),42 CFR Part 422,MC-01; MC-02; MC-04; MC-17,https://www.ecfr.gov/current/title-42/part-422,"Medicare Advantage (Part C) program regulations - eligibility, benefits, payments, contracts, and oversight"
REG-032,Regulation (part),42 CFR Part 423,MC-03; MC-11; MC-13,https://www.ecfr.gov/current/title-42/part-423,"Voluntary Medicare Prescription Drug Benefit (Part D) regulations - eligibility, benefits, formulary, payments, and contracts"
REG-033,Regulation (part),42 CFR Part 431,MD-12; MD-13,https://www.ecfr.gov/current/title-42/part-431,Medicaid State organization and general administration standards for the single State agency (Part 431).
REG-034,Regulation (part),42 CFR Part 435,MD-06,https://www.ecfr.gov/current/title-42/part-435,Medicaid eligibility rules and financial/non-financial requirements for covered groups (Part 435).
REG-035,Regulation (part),42 CFR Part 438,MC-20,https://www.ecfr.gov/current/title-42/part-438,"Medicaid managed care standards - plan contracts, beneficiary protections, and managed-care program integrity (Part 438)."
REG-036,Regulation (part),42 CFR Part 455,MD-07,https://www.ecfr.gov/current/title-42/part-455,"The core Medicaid program-integrity rule. Requires each state to run a fraud detection and investigation program and sets provider disclosure (ownership/control, business transactions, criminal convictions) and provider screening/enrollment requirements (risk-based screening levels, database checks, site visits). Subpart E carries the screening/enrollment provisions."
REG-037,Regulation (part),42 CFR Part 456,MD-14; MD-15,https://www.ecfr.gov/current/title-42/part-456,"Requires states to run utilization control - reviews that confirm Medicaid services (especially inpatient hospital, ICF, and mental-hospital care) are medically necessary and appropriately provided. Establishes utilization review plans and inspection-of-care requirements to catch unnecessary or excessive services."
REG-038,Regulation (part),42 CFR Part 457,MD-20,https://www.ecfr.gov/current/title-42/part-457,"CHIP (Children's Health Insurance Program) State plan, eligibility, and administration requirements (Part 457)."
REG-039,CMS manual,IOM Manual Pub 100-02,CD-08; CD-10,https://www.cms.gov/medicare/regulations-guidance/manuals/internet-only-manuals-ioms,Medicare Benefit Policy Manual - what Medicare covers and the conditions/limits of coverage.
REG-040,CMS manual,IOM Manual Pub 100-04,CB-09; CB-10; CB-13; CB-14,https://www.cms.gov/medicare/regulations-guidance/manuals/internet-only-manuals-ioms,Medicare Claims Processing Manual - how providers bill and how MACs adjudicate and pay claims.
REG-041,CMS manual,IOM Manual Pub 100-08,CB-17; CB-19; CD-03; CD-06; CD-09; CD-12; CD-13; PE-01; PE-14; PI-01; PI-02; PI-03; PI-05; PI-06; PI-09; PI-10; PI-12; PI-13; PI-14,https://www.cms.gov/medicare/regulations-guidance/manuals/internet-only-manuals-ioms,"Medicare Program Integrity Manual - contractor instructions for detecting/preventing fraud, waste and abuse (enrollment, medical review, overpayments)."
REG-042,CMS manual,IOM Manual Pub 100-12,MD-01,https://www.cms.gov/medicare/regulations-guidance/manuals/internet-only-manuals-ioms,State Medicaid Manual - CMS's operating instructions to state Medicaid agencies.
REG-043,CMS manual,IOM Manual Pub 100-18,MC-09; MC-10; MC-13,https://www.cms.gov/medicare/regulations-guidance/manuals/internet-only-manuals-ioms,"Medicare Prescription Drug Benefit Manual (Part D) - plan sponsor operations, formulary, and program oversight."
REG-044,CMS guidance,CMS SHO SHO 16-007,MD-22,https://www.medicaid.gov/federal-policy-guidance/,CMS guidance to states on Medicaid & incarceration: suspend (not terminate) eligibility and bar capitated/FFS payments for incarcerated enrollees; supports successful re-entry.
REG-045,Edit set,NCCI (six methodologies),CB-06,https://www.cms.gov/medicare/coding-billing/ncci-medicare,"NCCI's automated correct-coding edit program (PTP, MUE, add-on-code methodologies) for Medicare & Medicaid; edit files refreshed quarterly (current PTP v322r0, eff Jul 1, 2026)."
REG-046,Edit set,NCCI Medically Unlikely Edits (MUE,CB-07; CB-08,https://www.cms.gov/medicare/coding-billing/ncci-medicare,"Medically Unlikely Edits - per-code daily maximum units-of-service caps; separate Practitioner/OPPS/DME files, refreshed quarterly (current edition eff Jul 1, 2026)."
REG-047,Edit set,NCCI) - PTP edits & Policy Manual,CB-04; CB-05,https://www.cms.gov/medicare/coding-billing/ncci-medicare,"Procedure-to-Procedure code-pair edits with modifier indicators, plus the annual NCCI Policy Manual rationale (2026 edition eff Jan 1); PTP files updated quarterly (v322r0, eff Jul 1, 2026)."
REG-048,Program / dataset,Death Master File,MD-04; MD-08,,The Social Security Administration's Death Master File - the authoritative federal list of reported deaths. Used as a matching source to stop or recover payments and enrollments tied to deceased beneficiaries or providers. Access to the full file is restricted (DMF/LADMF); scope and lag should be confirmed before relying on a match.
REG-049,Program / dataset,LEIE,MD-04,,"OIG's List of Excluded Individuals/Entities - the searchable database of providers barred from federal health-care programs. Federal payment is prohibited for items or services furnished by, or ordered/prescribed by, an excluded party. Refreshes roughly monthly (July 2026 file ~82,229 active entries per current feed); verify the effective date on the OIG download page before acting."
REG-050,Program / dataset,PARIS,MD-07; PE-02,,"Public Assistance Reporting Information System - an interstate/federal data-matching service states must use in Medicaid eligibility determinations to detect people enrolled in more than one state or with other federal benefits (e.g., VA). Helps prevent duplicate-enrollment improper payments."
REG-051,Program / dataset,PERM,MD-12,,"Payment Error Rate Measurement - CMS's program that measures improper-payment rates for Medicaid and CHIP using rotating state samples (fee-for-service, managed care, and eligibility components). Produces the national Medicaid/CHIP improper-payment rate reported annually (FY2025 Medicaid 6.12%)."
REG-052,Program / dataset,RADV,MC-08,,Risk Adjustment Data Validation - CMS audits of Medicare Advantage (Part C) plans that verify enrollee diagnoses submitted for risk-adjusted payment are supported by medical records. Unsupported diagnoses drive payment recoveries; central to MA/HCC coding-integrity oversight.
REG-053,Program / dataset,T-MSIS,MD-16; MD-17,,"Transformed Medicaid Statistical Information System - the national Medicaid/CHIP claims and eligibility data repository states submit to CMS. Serves as the analytic backbone for program-integrity monitoring, cross-state analysis, and improper-payment detection."
REG-054,Oversight (GAO),GAO GAO-15-710,MC-17,https://www.gao.gov/products/gao-15-710,GAO: CMS oversight of Medicare Advantage provider-network adequacy needs strengthening to ensure enrollee access.
REG-055,Oversight (GAO),GAO GAO-16-76,MC-08,https://www.gao.gov/products/gao-16-76,GAO: fundamental improvements needed in CMS's recovery of improper Medicare Advantage payments driven by unsupported diagnoses.
REG-056,Oversight (GAO),GAO GAO-19-277,CD-04; CD-14; MD-13; MD-15; PI-10; PI-11,https://www.gao.gov/products/gao-19-277,GAO: CMS should assess the medical-record documentation needed to identify Medicare/Medicaid improper payments.
REG-057,Oversight (GAO),GAO GAO-19-481,MD-20,https://www.gao.gov/products/gao-19-481,GAO: additional CMS data and oversight needed to ensure Medicaid children receive recommended EPSDT screenings.
REG-058,Oversight (GAO),GAO GAO-21-17,MD-21,https://www.gao.gov/products/gao-21-17,GAO: action needed so CMS completes Medicaid Financial Management Reviews of state spending in a timely manner.
REG-059,Oversight (GAO),GAO GAO-23-105270,MC-15,https://www.gao.gov/products/gao-23-105270,GAO: CMS should monitor how manufacturer drug rebates affect Medicare Part D plan formularies and beneficiary spending.
REG-060,Oversight (GAO),GAO GAO-23-106025,PI-15,https://www.gao.gov/products/gao-23-106025,"GAO: CMS oversight and guidance could improve the Medicaid Recovery Audit Contractor program, including how state exemptions from RAC review are documented and monitored."
REG-061,Oversight (GAO),GAO GAO-24-106532,PA-16,https://www.gao.gov/products/gao-24-106532,"GAO: states need additional oversight of Medicaid managed-care plans' prior-authorization decisions for children's EPSDT services, given plan incentives to deny."
REG-062,Oversight (GAO),GAO GAO-25-106976,MD-07; PE-02,https://www.gao.gov/products/gao-25-106976,"GAO: enhanced cross-state data matching (e.g., via PARIS) could help prevent duplicate Medicaid, CHIP and APTC coverage and yield substantial savings."
REG-063,Oversight (GAO),GAO GAO-25-107623,CD-02,https://www.gao.gov/products/gao-25-107623,"GAO: Medicare national coverage determinations are generally timely, but CMS should identify the causes of delays and publish its analysis-prioritization criteria."
REG-064,Oversight (OIG),OIG A-04-21-04084,CB-13,https://oig.hhs.gov/oas/reports/region4/42104084.asp,OIG: Medicare overpaid for physician services billed at higher nonfacility rates while enrollees were facility inpatients; CMS should recover overpayments and prevent place-of-service miscoding.
REG-065,Oversight (OIG),OIG A-05-20-00025,MD-09,https://oig.hhs.gov/oas/reports/region5/52000025.asp,OIG: nearly all states made Medicaid managed-care capitation payments for beneficiaries concurrently enrolled in two states; stronger cross-state matching is needed.
REG-066,Oversight (OIG),OIG A-06-21-05003,CB-15,https://oig.hhs.gov/reports-and-publications/,"OIG audit A-06-21-05003 (issued 09/19/2022). Critical access hospitals (CAHs) and practitioners were both paid for the SAME professional services; MACs overpaid providers ~$907,438 and beneficiaries were overcharged ~$281,321 in cost-sharing. Illustrates duplicate/same-service payment risk. Draft - verify against oig.hhs.gov region6/62105003."
REG-067,Oversight (OIG),OIG A-09-20-03016,PA-07,https://oig.hhs.gov/reports-and-publications/,"OIG audit A-09-20-03016 (issued 05/31/2022). Of ~$40.1M paid for Power Mobility Device (PMD) repairs (FY2019), OIG estimated ~$8M improperly paid for repairs not meeting Medicare requirements. Draft - verify against oig.hhs.gov region9/92003016."
REG-068,Oversight (OIG),OIG A-09-21-03021,CB-17,https://oig.hhs.gov/reports-and-publications/,"OIG audit A-09-21-03021 (issued 05/02/2023). Of ~$1B paid for psychotherapy incl. telehealth in the first COVID-19 PHE year, OIG estimated ~$580M improper ($348M telehealth, $232M non-telehealth) - e.g., undocumented time, missing signatures. Draft - verify against oig.hhs.gov region9/92103021."
REG-069,Oversight (OIG),OIG A-09-22-03005,CB-12,https://oig.hhs.gov/reports-and-publications/,"OIG audit A-09-22-03005 (issued 08/17/2023). Up to ~$17.8M in potentially improper payments to opioid treatment programs (OTPs) for opioid-use-disorder services: duplicate weekly bundles ($10.4M), take-home supplies covered by other payments ($5.1M), no OUD diagnosis ($1.3M), excess intake activities ($1M); CMS had not directed MACs to add system edits. Draft - verify against oig.hhs.gov region9/92203005."
REG-070,Oversight (OIG),OIG A-09-22-03010,CB-19; CB-21,https://oig.hhs.gov/reports-and-publications/,"OIG audit A-09-22-03010 (issued June 2023). CMS/MAC oversight of the highest-paid molecular pathology genetic test (CPT 81408) was inadequate to reduce risk of up to ~$888M in improper payments (weak provider-relationship, disease-to-gene, and volume monitoring). Draft - verify against oig.hhs.gov region9/92203010."
REG-071,Oversight (OIG),OIG A-09-23-03016,CB-14,https://oig.hhs.gov/oas/reports/region9/92303016.asp,"OIG A-09-23-03016 (Sep 8, 2023): Medicare improperly paid acute-care hospitals ~$41.4M for inpatient claims subject to the post-acute-care transfer policy due to incorrect discharge status codes; CMS system edits became effective by period end. Supports transfer-policy/discharge-status billing edits. (added 2026-08-03)"
REG-072,Oversight (OIG),OIG A-12-00-00503,CB-09; CB-15,https://oig.hhs.gov/reports-and-publications/,"OIG hospital compliance audit (cited as A-12-00-00503; official ID appears to be A-01-12-00503, issued 11/30/2012, Tufts Medical Center). Judgmentally sampled at-risk inpatient/outpatient claims found billing errors; hospital accepted findings and processed adjustments via its MAC. Draft - confirm the exact report ID and findings against oig.hhs.gov region1/11200503.pdf."
REG-073,Oversight (OIG),OIG A-42109005,MD-08,https://oig.hhs.gov/reports-and-publications/,"OIG rollup audit (cited as A-42109005; official ID appears to be A-04-21-09005, issued 11/24/2023). Across 14 prior state audits, Medicaid agencies made >$249M ($172M federal share) in unallowable capitation payments to MCOs on behalf of DECEASED enrollees; OIG recommends routine T-MSIS-to-SSA Death Master File matching. Draft - confirm ID/findings against oig.hhs.gov A-04-21-09005."
REG-074,Oversight (OIG),OIG OEI-03-13-00050,PE-02; PE-12,https://oig.hhs.gov/oei/reports/oei-03-13-00050.pdf,OIG: early results showed enhanced enrollment screening of Medicare providers was not fully implemented (no MAC verified all applicant identifiers); CMS concurred with all recommendations.
REG-075,Oversight (OIG),OIG OEI-03-20-00330,MD-17,https://oig.hhs.gov/oei/reports/OEI-03-20-00330.asp,"OIG: Unified Program Integrity Contractors (UPICs) show promise across Medicare and Medicaid but performed far less Medicaid, especially managed-care, program-integrity work than their funding implied."
REG-076,Oversight (OIG),OIG OEI-05-13-00520,PE-09,https://oig.hhs.gov/oei/reports/oei-05-13-00520.asp,"OIG: ACA-required enhanced Medicaid provider-enrollment screenings (fingerprint-based background checks, site visits) were not fully implemented; states needed CMS guidance and a shared results system."
REG-077,Oversight (OIG),OIG OEI-09-18-00260,PA-09,https://oig.hhs.gov/oei/reports/OEI-09-18-00260.pdf,"OIG OEI-09-18-00260 (Apr 27, 2022): 'Some Medicare Advantage Organization Denials of Prior Authorization Requests Raise Concerns About Beneficiary Access to Medically Necessary Care.' Found 13% of PA denials were for services that met Medicare coverage rules (~85,000/yr). Supports MA prior-auth denial-appropriateness monitoring. (added 2026-08-03)"
REG-078,Oversight (OIG),OIG OEI-09-19-00350,PA-14; PA-15,https://oig.hhs.gov/oei/reports/OEI-09-18-00260.asp,"OIG: some Medicare Advantage prior-authorization and payment denials in fact met Medicare coverage rules, raising concerns that capitated incentives restrict access to medically necessary care."
