flag_family,signals,implied_scheme,stage,control_fixes,first_artifact,evidence,priority,diagnostic_inputs,failure_mode_fix
Excluded / deactivated provider billing,LEIE/SAM hit post-enrollment; revoked elsewhere,Screening lapse,3 Enrollment,C-02/PE monthly LEIE+SAM screening with ownership-change re-screen (Mod 01),Dated monthly screening log + hit resolution,Cross-cutting; minimum standard,High,1) Provider/owner in the screened population (scope)? 2) Monthly LEIE+SAM re-screen incl. ownership-change designed? 3) Dated monthly screening log with hit resolution? 4) Paid despite an exclusion hit (override)? 5) Ran but ownership-change re-screen not triggered = trigger gap.,Absent: no re-screening -> build C-02. Not operating: no monthly log -> schedule + owner. Bypassed: paid despite hit -> payment hold on hit. Ineffective: no ownership-change trigger -> add re-screen trigger.
Referral-concentration / kickback pattern,One-to-one referral dependence; Open Payments correlation; marketer involvement,Kickbacks (Stark/AKS),6 Payment,C-06 COI/Open Payments screen of top referral relationships (Mod 06),Annual COI review memo + relationship map,186 cases / $2.2B,High,1) Referral relationship in scope for COI screening? 2) COI/Open-Payments referral screen designed? 3) Annual COI review + relationship map produced? 4) Flagged relationships dispositioned? 5) Ran but marketer/AKS correlation not modeled = coverage gap.,Absent: no COI screen -> build C-06. Not operating: no annual review -> schedule. Bypassed: relationships not dispositioned -> require review memo. Ineffective: pattern coverage -> add Open-Payments correlation.
Hospice/home-health eligibility anomalies,"Long stays, live-discharge rates, non-terminal enrollment signals",Hospice / home health,2 Eligibility + 5 Delivery,C-08 hospice eligibility re-verification at election + cadence; EVV for HH visits (Mod 05),Eligibility re-cert worksheet sample,96 cases / $2.8B,High,1) Beneficiary in a hospice/HH cohort in scope? 2) Election/eligibility re-verification (+EVV for HH) designed? 3) Re-cert performed (worksheet sample)? 4) Non-terminal/long-stay cases dispositioned? 5) Ran but live-discharge/LOS signals not tested = rule gap.,Absent: no re-verification -> build C-08. Not operating: no re-cert cadence -> schedule. Bypassed: long-stays not reviewed -> assign review. Ineffective: signals not tested -> add live-discharge/LOS rules.
Controlled-substance prescribing outlier,Pill volume/MME outliers; cash-pay clustering; distance-to-prescriber,Opioid / pharmacy diversion,7 Monitoring,C-03 PDMP-integrated prescribing-pattern review (Mod 03/07),Quarterly outlier-prescriber report + dispositions,244 cases / $2.2B (highest count),High,1) Prescriber/drug in scope for PDMP review? 2) PDMP-integrated outlier review designed? 3) Quarterly outlier report produced + dispositions recorded? 4) Outliers cleared without action? 5) Ran but MME/cash-pay/distance signals absent = feature gap.,Absent: no PDMP review -> build C-03. Not operating: no quarterly report -> schedule. Bypassed: outliers cleared no-action -> require disposition. Ineffective: signal coverage -> add MME/distance/cash-pay.
Lab/UDT panel stacking,Quantitative confirms without screens; identical panels for all patients,Lab / urine drug testing; compounding analog,4 Authorization,C-09 lab/genetic prior-auth + high-$ panel medical-necessity review (Mod 03); CB-16 same-sample presumptive+definitive UDT code-pair edit (CPT 80307 + HCPCS G0483) (Mod 03),PA/necessity decision record per panel,142 cases / $2.9B (lab+compounding),Med,1) Panel/test in the PA/necessity scope? 2) PA + high-$ panel necessity review designed? 3) PA/necessity decision record produced per panel? 4) Stacked panels paid without review? 5) Ran but confirm-without-screen rule absent = rule gap.,Absent: no lab PA/necessity -> build C-09. Not operating: no decision record -> operationalize. Bypassed: paid without review -> pre-pay hold. Ineffective: add reflex / confirm-without-screen rule.
Telehealth encounter anomalies,No prior patient relationship; out-of-state clusters; seconds-long encounters,Telemedicine order mills,4 Authorization,C-05 physician-patient relationship verification + telemedicine prescribing controls (Mod 03/04),Encounter-verification sample workpapers,129 cases / $11.0B (largest $),High,1) Encounter in the telehealth cohort in scope? 2) Relationship + telemed-modality verification designed? 3) Encounter-verification workpapers produced? 4) No-relationship encounters dispositioned? 5) Ran but seconds-long/out-of-state signals not tested = rule gap.,Absent: no telehealth verification -> build C-05. Not operating: no sampling -> schedule. Bypassed: exceptions not worked -> assign. Ineffective: add duration/geo/relationship rules.
Documentation-deficiency pattern,Denial/error concentrations for insufficient documentation,Documentation integrity (CERT/PERM top cause),5 Documentation,C-07 pre-payment documentation completeness check on error-prone services (Mod 05),Completeness checklist in claim file,~77% of Medicaid PERM improper payments,Med,1) Service error-prone & in the completeness-check scope? 2) Pre-payment documentation completeness check designed? 3) Checklist applied (in claim file)? 4) Incomplete claims paid via override? 5) Ran but error-prone service not covered = scope gap.,Absent: no completeness check -> build C-07. Not operating: checklist not applied -> enforce. Bypassed: paid incomplete -> pre-pay hold. Ineffective: extend to the error-prone service set.
Duplicate / COB overlap,Same service paid by two programs/states; interstate duplicates,Managed care / eligibility,6 Payment,MD-07 PARIS interstate match; COB overlap analytics (Mod 07),PARIS/COB exception report,Module 07 evidence base,Med,1) Member in a multi-program/interstate scope? 2) PARIS/COB overlap matching designed? 3) PARIS/COB exception report produced? 4) Duplicates recouped/coordinated? 5) Ran but interstate/COB source missing = coverage gap.,Absent: no COB/PARIS match -> build MD-07. Not operating: no exception report -> schedule. Bypassed: duplicates not recouped -> recovery SLA. Ineffective: add interstate/COB feeds.
Emergency/waiver-period code spike,Surges in waiver-billed codes; relaxed-enrollment cohort anomalies,COVID-19 / emergency program pattern,1 Governance + 6 Payment,Emergency minimum-control floor (board-approved) + waiver-code anomaly watch (Mod 02),Board-approved PI floor policy + watch report,113 cases / $1.9B,Med,1) Cohort under an emergency/waiver period in scope? 2) Board-approved emergency PI floor + waiver-code watch designed? 3) Watch report produced during the waiver period? 4) Spikes dispositioned? 5) Ran but relaxed-enrollment cohort not tracked = scope gap.,Absent: no emergency floor -> adopt board-approved PI floor. Not operating: no watch report -> stand up during waivers. Bypassed: spikes not reviewed -> assign. Ineffective: add relaxed-enrollment cohort tracking.
Synthetic/cloned record indicators,Template/cloned notes; AI-fabricated consent; records post-dating billing,Information-integrity compromise,5 Documentation,Authenticity verification for consent/records + AI-content detection in monitoring (Mod 05/06),Authenticity-check procedure + sample results,$0.8B incl. $703.8M AI-consent case,Med,1) Record type/service in the authenticity-check scope? 2) Consent/record authenticity + AI-content check designed? 3) Authenticity procedure applied (sample results)? 4) Cloned/fabricated records dispositioned? 5) Ran but clone/post-date/AI signals not tested = rule gap.,Absent: no authenticity check -> build it. Not operating: no sampling -> schedule. Bypassed: flagged records not worked -> assign. Ineffective: add clone/post-date/AI-content detection.
Provider-identity / NPI-footprint mismatch,"Billing NPI's service location, billing TIN, or claim geography inconsistent with the provider's enrollment address / historical claims geography / self-attested employer",Legitimately-enrolled NPI billed by an unrelated party for services the named provider never rendered (NPI misappropriation),6 Payment (with a stage-3 enrollment tie-in),PI-20 Provider NPI/credential-footprint consistency monitoring (Mod 02),Footprint-inconsistency alert log + dispositions (enrollment-vs-claims join),SC 'Operation Border War' 2025 (alleged ~$21M; NPI misappropriation),High,Enrollment-vs-claims footprint reconciliation logs; NPI/TIN/geography exception dispositions,Provider identity misappropriated -> continuous footprint-consistency analytics on claims+enrollment
Beneficiary-side integrity (recruiter-cluster / roster overlap),Recipient enrollment clustered by a common recruiter; staff/owner identity appearing on the member roll as a service recipient,Beneficiary as paid participant - cash-bribe enrollment / employee-as-recipient of their own entity's services,3 Enrollment / 7 Monitoring,PI-21 Beneficiary-side integrity analytics (Mod 02),Recruiter-cluster + roster-overlap exception report + dispositions,Zhu SADC 2026; Irving NEMT 2026 (alleged),High,Enrollment+claims+HR-roster join exception log; recruiter-cluster dispositions (no PHI),No beneficiary-side / roster-overlap control -> recruiter-clustering + identity-overlap analytics
Entity-network cash-loop,Provider/payee network with circular or layered inter-entity transfers inconsistent with legitimate operations,Laundering entities recycling claim proceeds into cash used to induce recipients/providers,7 Monitoring,PI-22 Entity-network cash-loop detection (Mod 02),Entity-network transfer-pattern alert + dispositions,Zhu SADC self-funding loop 2026 (alleged),High,Claims+payment+ownership/entity network graphs; flagged transfer-pattern dispositions,No follow-the-money control -> entity-network / money-flow analytics
MSO / investment-disguised kickback,Physician/investor referral volume correlated with MSO 'investment distributions' or ownership stakes; inducements invisible at transaction level,Kickbacks structured as MSO investment returns to evade referral-payment detection,7 Monitoring,PI-23 MSO/investment-disguised kickback detection (Mod 02),MSO-distribution-vs-referral-volume correlation report (Open Payments + ownership),Boston Heart (alleged >$61M in DOJ settlements since 2019),High,Referral-volume vs Open-Payments/ownership correlation output; COI-disclosure completeness,Ownership captured but not investment-return-disguised inducement -> Open Payments/ownership correlation
Ancillary / wrap-around fund disbursement anomaly,"Discretionary fund disbursements (gift cards, housing/home-safety support) to employee-linked names/addresses; single-approver processing",Employee with sole processing authority routing discretionary funds to self/family,6 Payment (non-claims disbursement),MC-22 Ancillary/wrap-around fund disbursement SoD (Mod 06),Dual-approval record + recipient-pattern review log,CareOregon HRSF 2026 (guilty plea 2026-02-25),Med,Disbursement dual-approval records; employee-linked recipient-pattern review (no PHI),Sole disbursement authority -> independent second-approver + recipient-relationship cross-check
NF cost-report / rate-setting anomaly,"Self-reported facility cost data inconsistent with independent financial-distress indicators (payroll-tax delinquency, vendor/UCC collections, receivership/licensure action)",Inflated self-reported costs driving overpaid per-diem rates at a financially-distressed facility,4 Authorization (rate acceptance),MD-23 Nursing-facility cost-report rate-setting integrity check (Mod 07),Financial-distress screen result attached to each accepted cost report,Skyline/Schwartz AR 2025 (alleged cost overstatement ~$6.3M; ~$3.6M overpaid; $1.8M restitution),Med,Cost-report-vs-distress-indicator screen outputs; accepted-rate exception log,Rate set on unverified self-reported costs -> distress-indicator cross-match before rate acceptance
Self-directed-care approver-conflict,Attendant time approved by a beneficiary's conservator/guardian/representative who shares address/family/account with the attendant,Representative-approver with a financial tie to the caregiver approving fabricated time,5 Documentation,MD-24 Self-directed-care approver-independence control (Mod 07),Conflict-screen result + representative-approved-claim sampling disposition,TennCare / Hughlett 2026 (alleged),Med,Representative-attendant relationship/identity-overlap screen; approved-claim sampling results (no PHI),Representative approves without independent check -> secondary check + relationship/conflict screen
NEMT shared-ride / unit inflation,Multiple beneficiaries transported together but billed as separate trips; implausible trip distance/frequency per beneficiary,Per-passenger-as-separate-trip inflation + phantom/implausible trips,6 Payment,MD-26 NEMT unit-of-service / shared-ride integrity edit (Mod 07),Shared-ride / unit-inflation exception report (NEMT claims + trip/EVV data),Irving NM NEMT 2026 (alleged),Med,Shared-ride overlap + trip-plausibility exception outputs; TPL/EVV reconciliation logs,No NEMT unit-of-service edit -> shared-ride + trip-plausibility analytics
Systemic / agentic mass-fraud (agency escalation),"Detection of a large-scale or systemic scheme at the state-agency level (e.g., thousands of enrollments, foreign-based mass-enrollment ring)",Systemic scheme detected but not escalated to law enforcement / oversight,7 Monitoring / program governance,MD-25 State-agency systemic-fraud escalation control (Mod 07),Dated escalation record + independent-auditor confirmation,OHCA / OK 2026 (alleged foreign-based mass enrollment),High,Escalation/referral audit trail; auditor confirmation of time-bound escalation,"No escalation duty -> documented, time-bound escalation to AG/MFCU + HHS-OIG with audit trail"
