id,module,name,type,stage,stage_name,gb_principle,citation_text,reg_ids,ds_ids,open_oversight_rec,analytics_technique,applies_to,dmepos,trigger,owner,system_touchpoint,evidence_artifact,frequency,failure_mode
PE-18,Module 01 — Provider Enrollment,CAQH ProView primary-source verification & 120-day re-attestation,Preventive,3,Enrollment,"P8, P10, P12",CAQH ProView / NCQA credentialing,,,,Manual / none,Enrolling providers & suppliers (Medicare/Medicaid); DMEPOS where noted,no,Credentialing & re-attestation,Credentialing team,CAQH ProView,Attestation/PSV record,Per app + 120 days,Stale credentialing data (payer networks)
PE-19,Module 01 — Provider Enrollment,Enrollment governance: documented roles & segregation of duties,Preventive,1,Governance,"P1, P2, P3 (Control Environment)",GAO Green Book 2025 Principles 3 & 10 (authority/responsibility; control activities incl. segregation of duties); 42 CFR part 424 subpart P (Medicare enrollment),,,,Manual / none,Enrolling providers & suppliers (Medicare/Medicaid); DMEPOS where noted,no,Program design / annual review,Compliance officer,Policy repository,SoD matrix + approval policy,Annual,Single-point approval abuse
PI-01,Module 02 — Program Integrity,Routine claims-aberrancy analytics (peer-outlier / statistical),Detective,7,Monitoring,"P16, P11",42 CFR 455 Subpart A (Medicaid PI); CMS PIM Pub 100-08 Ch.2 (Data Analysis),REG-041,DS-12,,Peer/statistical,Payers/plans/PI-SIU units; providers (self-audit),no,Scheduled analytics run,PI data analyst,Claims/encounter analytics,Outlier-alert disposition log,Monthly,Undetected aberrant billing
PI-02,Module 02 — Program Integrity,Provider risk-scoring & review-prioritization model,Detective,7,Monitoring,"P16, P11",CMS PIM Pub 100-08 Ch.2 (Data Analysis),REG-041,,,Risk scoring,Payers/plans/PI-SIU units; providers (self-audit),no,Portfolio scoring cycle,PI data analyst,Risk-scoring engine,Risk-ranked review queue,Monthly,Mis-targeted review effort
PI-03,Module 02 — Program Integrity,Multi-source link analysis (claims+enrollment+encounter+external),Detective,7,Monitoring,"P16, P11",CMS PIM Pub 100-08 Ch.2 (Data Analysis),REG-041,,,Link analysis,Payers/plans/PI-SIU units; providers (self-audit),no,Scheme-detection scan,PI data analyst,Integrated data platform,Network-link alert disposition,Monthly,Cross-provider schemes missed
PI-04,Module 02 — Program Integrity,Prepayment medical-review edits on high-risk codes/services,Preventive,6,Payment,"P10, P11","OIG A-09 Molecular Pathology Genetic Test (2023, OPEN rec); OIG Definitive Drug Testing G0483 (2023, OPEN rec)",,,Yes,Edit logic,Payers/plans/PI-SIU units; providers (self-audit),no,Claim hits edit logic,Medical-review / SIU,Claims adjudication edits,Edit-hit & denial report,Continuous,Improper payment before any recovery
PI-05,Module 02 — Program Integrity,Post-payment medical review w/ valid sampling & extrapolation,Detective,7,Monitoring,"P16, P11",CMS PIM Pub 100-08 Ch.3 (Verifying Errors & Corrective Actions); CMS PIM Pub 100-08 Ch.8 (Administrative Actions / Sampling),REG-041,,,Statistical sampling,Payers/plans/PI-SIU units; providers (self-audit),no,Targeted review project,Medical-review nurse/MD,MR case system,Sampling plan + extrapolation memo,Per project,"Unsupported claims paid, weak recovery basis"
PI-06,Module 02 — Program Integrity,Medical review for benefit integrity (suspected-fraud) workflow,Detective,7,Monitoring,"P16, P11",CMS PIM Pub 100-08 Ch.4 (Benefit Integrity); PIM Sec.1.8 - Medical Review for Benefit Integrity,REG-041,,,Manual / none,Payers/plans/PI-SIU units; providers (self-audit),no,Fraud lead/referral,Benefit-integrity unit,BI case system,MR-for-BI case file,Per case,Fraud not developed for action/referral
PI-07,Module 02 — Program Integrity,60-day self-identified overpayment report-&-return workflow,Preventive,8,Corrective action,"P17, P15",42 CFR 401.305 + SSA 1128J(d) (60-day rule),REG-002,,,Aging tracking,Payers/plans/PI-SIU units; providers (self-audit),no,Overpayment identified,Compliance / billing,Overpayment tracking system,Refund + 60-day timestamp,Per event,Retained overpayment becomes FCA exposure
PI-08,Module 02 — Program Integrity,Proactive self-audit program (quantify & return before audit),Detective,7,Monitoring,"P16, P11",42 CFR 401.305 + SSA 1128J(d) (60-day rule),REG-002,,,Sampling,Payers/plans/PI-SIU units; providers (self-audit),no,Self-audit schedule,Compliance / internal audit,Self-audit workpapers,Self-audit report + repayment,Quarterly,Provider exposure at UPIC/RAC review
PI-09,Module 02 — Program Integrity,Overpayment recovery tracking vs reopening / RAC look-back,Detective,8,Corrective action,"P17, P15",CMS PIM Pub 100-08 Ch.8 (Administrative Actions / Sampling); 42 CFR 405.980 (reopening) / SSA 1893(h) (RAC),REG-004; REG-041,,,Aging tracking,Payers/plans/PI-SIU units; providers (self-audit),no,Recovery case opened,PI recovery analyst,Recovery/AR system,Recovery aging report,Continuous,Missed/time-barred recoveries
PI-10,Module 02 — Program Integrity,Root-cause corrective-action workflow (beyond recoupment),Corrective,8,Corrective action,"P17, P15","CMS PIM Pub 100-08 Ch.3 (Verifying Errors & Corrective Actions); GAO-19-277 (2019, OPEN rec)",REG-041; REG-056,,Yes,Manual / none,Payers/plans/PI-SIU units; providers (self-audit),no,Confirmed error/finding,PI / compliance,CAPA tracker,Root-cause CAPA record,Per finding,Repeat errors; recurring improper payments
PI-11,Module 02 — Program Integrity,Corrective-action effectiveness re-measurement (loop closure),Detective,8,Corrective action,"P17, P15","GAO-19-277 (2019, OPEN rec)",REG-056,,Yes,Trend,Payers/plans/PI-SIU units; providers (self-audit),no,Post-CAPA interval,PI / compliance,CAPA tracker + analytics,Re-measurement / trend report,Quarterly,Ineffective fixes left in place
PI-12,Module 02 — Program Integrity,Provider education & error-trend feedback,Preventive,7,Monitoring,"P16, P11",CMS PIM Pub 100-08 Ch.3 (Verifying Errors & Corrective Actions); CMS CERT Program,REG-041,,,Manual / none,Payers/plans/PI-SIU units; providers (self-audit),no,Error trend identified,Provider education,Education/outreach log,Education notice + acknowledgment,Quarterly,Recurring billing errors
PI-13,Module 02 — Program Integrity,Contractor ADR-response tracking (UPIC/RAC/CERT/MAC),Preventive,7,Monitoring,"P16, P11",CMS PIM Pub 100-08 Ch.3 (Verifying Errors & Corrective Actions); 42 CFR 405.980 (reopening) / SSA 1893(h) (RAC),REG-004; REG-041,,,Manual / none,Payers/plans/PI-SIU units; providers (self-audit),no,ADR letter received,Compliance / HIM,ADR tracking system,ADR response + timeliness log,Per ADR,Default denials from missed deadlines
PI-14,Module 02 — Program Integrity,Suspected-fraud referral to OIG/MFCU/law enforcement,Detective,8,Corrective action,"P17, P15",42 CFR 455 Subpart A (Medicaid PI); CMS PIM Pub 100-08 Ch.4 (Benefit Integrity),REG-041,,,Manual / none,Payers/plans/PI-SIU units; providers (self-audit),no,Credible fraud indicator,SIU / compliance officer,Referral case system,Referral package + log,Per case,Fraud unreferred; mandatory-referral breach
PI-15,Module 02 — Program Integrity,Cross-contractor audit coordination & de-duplication,Preventive,7,Monitoring,"P16, P11","42 CFR 455 Subpart F (Medicaid RAC); GAO-23-106025 (2023, OPEN rec)",REG-060,,Yes,Manual / none,Payers/plans/PI-SIU units; providers (self-audit),no,Overlapping audit detected,PI coordinator,Audit-tracking register,Coordination/de-dup log,Continuous,Duplicate/conflicting reviews; provider burden
PI-16,Module 02 — Program Integrity,Payment suspension on credible allegation of fraud,Preventive,8,Corrective action,"P17, P15",42 CFR 455.23 (Medicaid payment suspension); 42 CFR 405.371 (Medicare payment suspension),REG-003; REG-025,,,Manual / none,Payers/plans/PI-SIU units; providers (self-audit),no,Credible-allegation determination,SIU / payment integrity,Payment-suspension system,Suspension determination memo,Per case,Continued payment during active fraud
PI-17,Module 02 — Program Integrity,Medicaid third-party-liability cost-avoidance & recovery,Preventive,8,Corrective action,"P17, P15","42 CFR 433.135-139 (Medicaid TPL); OIG Medicaid Third-Party Liability (2023, OPEN rec)",REG-020,,Yes,Coverage matching,Payers/plans/PI-SIU units; providers (self-audit),no,Claim w/ other coverage,TPL unit,TPL / eligibility match,TPL cost-avoidance report,Continuous,Medicaid pays where another payer liable
PI-18,Module 02 — Program Integrity,"PI/SIU governance: roles, SoD & independence from payment",Preventive,1,Governance,"P1, P2, P3 (Control Environment)",GAO Green Book 2025 (Standards for Internal Control),,,,Manual / none,Payers/plans/PI-SIU units; providers (self-audit),no,Program design / annual review,Compliance officer,Policy repository,SoD matrix + PI charter,Annual,Conflicted/under-authorized PI function
PI-19,Module 02 — Program Integrity,"PI performance reporting (recovery ROI, prevention metrics)",Detective,8,Corrective action,"P17, P15",Program Integrity Alliance - Value-for-Money in Anti-Fraud; GAO Green Book 2025 (Standards for Internal Control),,,,Metrics,Payers/plans/PI-SIU units; providers (self-audit),no,Reporting cycle,PI program lead,PI dashboard/BI,Governance metrics report,Quarterly,No oversight of PI effectiveness
PI-20,Module 02 — Program Integrity,"Provider NPI/credential-footprint consistency monitoring — flag claims where a billing NPI's service location, billing TIN, or claim geography is inconsistent with the provider's enrollment/known practice footprint",Detective,6,Payment,"P10, P16",42 CFR 455 Subpart A (Medicaid Agency Fraud Detection & Investigation Program) incl. §455.23 (payment suspension on credible fraud allegation); §455 Subpart E (provider screening),,DS-06; DS-07; DS-13,,Footprint/geo consistency analytics,"Payers, SIU & program-integrity units (claims-paying)",no,"Claim NPI billed from a location/entity/geography inconsistent with enrollment address, historical claims geography, or self-attested current employer",SIU / PI data analyst,Claims + enrollment (PECOS/MMIS) join,Footprint-inconsistency alert log + dispositions,Continuous / near-real-time,Legitimately-enrolled NPI billed by an unrelated party for services the named provider never rendered (SC Operation Border War 2025 pattern)
PI-21,Module 02 — Program Integrity,Beneficiary-side integrity analytics — detect recruiter-clustered enrollment and staff-roster / member-roll identity overlap (employee/owner appearing as a recipient of their own entity's services),Detective,7,Monitoring,"P16, P11",42 CFR 455 Subpart A (Medicaid fraud detection/investigation); 42 USC 1320a-7b(b) (Anti-Kickback Statute — beneficiary inducement),,DS-13; DS-16,,Clustering + identity-overlap analytics,"Payers, SIU & program-integrity units",no,Recipient enrollment clustered by recruiter; or staff/owner identity appearing on the member roll as a service recipient,SIU / PI data analyst,Enrollment + claims + HR roster join,Recruiter-cluster + roster-overlap exception report + dispositions,Monthly,Beneficiary as paid participant - cash-bribe enrollment / employee-as-recipient (Zhu SADC 2026; Irving NEMT 2026 patterns)
PI-22,Module 02 — Program Integrity,Entity-network cash-loop detection — follow-the-money analytics flagging entity clusters that recycle claim proceeds into cash used to induce recipients/providers (layered inter-entity transfers),Detective,7,Monitoring,"P16, P11",42 USC 1320a-7b(b) (Anti-Kickback Statute); 18 USC 1956 (laundering of monetary instruments),,DS-13; DS-16,,Entity-network / money-flow analytics,"Payers, SIU & financial-analytics units",no,Provider/payee network with circular or layered inter-entity transfers inconsistent with legitimate operations,SIU / financial analytics,Claims + payment + ownership/entity data,Entity-network transfer-pattern alert + dispositions,Quarterly,Laundering entities converting claim proceeds into bribe cash (Zhu SADC self-funding loop 2026)
PI-23,Module 02 — Program Integrity,MSO/investment-disguised kickback detection — cross-reference referral volume against ownership/Open Payments and MSO 'investment distribution' patterns to surface referral inducements structured as investment returns,Detective,7,Monitoring,"P16, P11",42 USC 1320a-7b(b) (Anti-Kickback Statute); 42 CFR 403 Subpart I (Open Payments; SSA §1128G / 42 USC 1320a-7h),,DS-09; DS-13; DS-16,,Open Payments / ownership correlation,"Payers, SIU & program-integrity units",no,Physician/investor referral volume correlated with MSO investment distributions or ownership stakes,SIU / PI data analyst,Claims + Open Payments + ownership-disclosure data,MSO-distribution vs referral-volume correlation report,Annual / on-trigger,"Kickbacks disguised as MSO investment returns, invisible in transaction-level views (Boston Heart >$61M since 2019)"
CB-01,Module 03 — Coding & Billing Integrity,Certified-coder assignment & coding-to-documentation policy,Preventive,6,Payment,"P10, P11",45 CFR 162.1002 (HIPAA code set standards); 42 CFR 424.5 (conditions for Medicare payment),REG-016,,,Manual / none,"Providers, billing entities & payers",no,Every claim coded,HIM / coding manager,Encoder / EHR coding module,Coding policy + coder credential file,Continuous,Up-coding to maximize reimbursement
CB-02,Module 03 — Coding & Billing Integrity,Annual code-set update governance (HCPCS/CPT/ICD-10),Preventive,1,Governance,"P1, P2, P3 (Control Environment)",45 CFR 162.1002 (HIPAA code set standards),,,,Manual / none,"Providers, billing entities & payers",no,Annual code-set release,Coding compliance lead,Encoder / chargemaster,Code-set update change log,Annual,Billing with retired/invalid codes
CB-03,Module 03 — Coding & Billing Integrity,E&M level validation vs 2021 MDM/time; peer-benchmark for upcoding,Detective,6,Payment,"P10, P11",CMS Evaluation & Management (2021 guidelines); Program Integrity Alliance - GovQuery / PIA Connect (MCP),,,,Peer benchmarking,"Providers, billing entities & payers",no,Claim submission + monthly scan,Coding auditor / PI analyst,Claims analytics,E&M distribution / outlier report,Monthly,Systematic E&M upcoding (levels 4-5)
CB-04,Module 03 — Coding & Billing Integrity,NCCI PTP edit enforcement pre-submission,Preventive,8,Corrective action,"P17, P15",CMS National Correct Coding Initiative (NCCI) - PTP edits & Policy Manual; Program Integrity Alliance - Value-for-Money in Anti-Fraud,REG-047,DS-10,,Ptp edits,"Providers, billing entities & payers",no,Each claim with a code pair,Billing system owner,Claim scrubber / edit engine,PTP edit hit / disposition log,Per claim,Payment for improperly bundled code pairs
CB-05,Module 03 — Coding & Billing Integrity,Modifier-59 / X{EPSU} governance & documentation review,Detective,1,Governance,"P1, P2, P3 (Control Environment)",CMS National Correct Coding Initiative (NCCI) - PTP edits & Policy Manual,REG-047,,,Modifier analytics,"Providers, billing entities & payers",no,Modifier appended to bypass an edit,Coding auditor,Claim edit engine,Modifier-use audit sample,Monthly,Modifier abuse to defeat PTP edits
CB-06,Module 03 — Coding & Billing Integrity,Medicaid NCCI six-methodology implementation,Preventive,6,Payment,"P10, P11",CMS Medicaid NCCI (six methodologies),REG-045,DS-10,,Edits,"Providers, billing entities & payers",no,Quarterly Medicaid NCCI edit files,Medicaid MES / fiscal agent,Medicaid claims (MES),NCCI methodology attestation,Quarterly,Unedited Medicaid claims / improper payment
CB-07,Module 03 — Coding & Billing Integrity,MUE units-of-service edit enforcement,Preventive,8,Corrective action,"P17, P15",CMS NCCI Medically Unlikely Edits (MUE),REG-046,DS-10,,Mue,"Providers, billing entities & payers",no,Units exceed MUE for a code,Billing system owner,Claim scrubber / edit engine,MUE hit / adjudication log,Per claim,Payment for medically-unlikely quantities
CB-08,Module 03 — Coding & Billing Integrity,Quantity / frequency-limit edits (capped & time-based services),Detective,6,Payment,"P10, P11","CMS NCCI Medically Unlikely Edits (MUE); OIG (2021, OPEN) - Chronic Care Management overpayments",REG-046,,,Frequency,"Providers, billing entities & payers",no,CCM/quantity-limited item billed,PI analyst / edit builder,Claims analytics + edits,Frequency-limit exception report,Continuous,Overpayment for CCM / over-limit items
CB-09,Module 03 — Coding & Billing Integrity,"Payment-modifier validation (co-surgery 62, assistant 80/AS, bilateral 50)",Detective,6,Payment,"P10, P11","CMS Pub 100-04 Claims Processing Manual; OIG A-12-00-00503 (2022, OPEN) - co-surgery/assistant/duplicate modifiers",REG-040; REG-072,,,Modifier analytics,"Providers, billing entities & payers",no,Surgery/assistant modifier billed,Coding auditor,Claim edit engine,Modifier-vs-documentation review,Per claim + sample,Improper surgery/assistant payments (OIG)
CB-10,Module 03 — Coding & Billing Integrity,Global-surgical-package bundling control,Detective,6,Payment,"P10, P11",CMS Pub 100-04 Claims Processing Manual,REG-040,,,Date/window logic,"Providers, billing entities & payers",no,E&M billed within global period,Coding auditor,Claims analytics,Global-period conflict report,Monthly,Separate billing of bundled post-op care
CB-11,Module 03 — Coding & Billing Integrity,Diagnosis-to-service medical-necessity linkage edit (NCD/LCD),Preventive,6,Payment,"P10, P11",SSA 1862(a)(1)(A) (reasonable & necessary),,,,Dx-service matching,"Providers, billing entities & payers",no,Service requiring covered dx,Coding / edit builder,Claim scrubber vs NCD/LCD,Necessity-edit disposition,Per claim,Payment without supporting diagnosis
CB-12,Module 03 — Coding & Billing Integrity,"Required-diagnosis-code edit (policy-mandated dx, e.g., OTP OUD)",Preventive,6,Payment,"P10, P11","OIG A-09-22-03005 (2023, OPEN) - OTP opioid-use-disorder dx",REG-069,,,Dx edits,"Providers, billing entities & payers",no,Service class requiring specific dx,Payer edit builder,Prepayment edit engine,Required-dx edit specification,Per claim,Payment absent policy-required diagnosis
CB-13,Module 03 — Coding & Billing Integrity,Place-of-service / facility-vs-non-facility rate edit,Detective,6,Payment,"P10, P11","CMS Pub 100-04 Claims Processing Manual; OIG A-04-21-04084 (2023, OPEN) - POS-32 non-facility rate",REG-040; REG-064,,,Pos analytics,"Providers, billing entities & payers",no,POS code drives payment rate,Billing / PI analyst,Claims system (CWF) edits,POS-vs-rate exception report,Continuous,Higher non-facility rate paid in error
CB-14,Module 03 — Coding & Billing Integrity,DRG & discharge-status coding accuracy review (transfer vs discharge),Detective,6,Payment,"P10, P11",CMS Pub 100-04 Claims Processing Manual; OIG A-09-23-03016 (2023) - post-acute-transfer DRG,REG-040; REG-071,,,Drg analytics,"Providers, billing entities & payers",no,Inpatient claim with transfer,Inpatient coding auditor,Claims analytics / edits,Discharge-status audit sample,Monthly,Full DRG paid where transfer applies
CB-15,Module 03 — Coding & Billing Integrity,Duplicate claim / line detection,Detective,6,Payment,"P10, P11","OIG A-12-00-00503 (2022, OPEN) - co-surgery/assistant/duplicate modifiers; OIG A-06-21-05003 (2022, OPEN) - duplicate professional services",REG-066; REG-072,,,Duplicate detection,"Providers, billing entities & payers",no,Same service/date resubmitted,Billing system owner,Claim edit engine,Duplicate-hit disposition log,Per claim,Duplicate payment for one service
CB-16,Module 03 — Coding & Billing Integrity,Unbundling detection analytics — incl. same-sample presumptive+definitive UDT code-pair edit (CPT 80307 + HCPCS G0483 billed on one sample/date),Detective,6,Payment,"P10, P11",Program Integrity Alliance - GovQuery / PIA Connect (MCP),,,,Pattern analytics + same-sample UDT code-pair edit,"Providers, billing entities & payers",no,Comprehensive service fragmented; OR presumptive + top-tier definitive UDT billed on the same sample/date,PI data analyst,Claims analytics,Unbundling pattern alert,Monthly,Revenue inflation via fragmented billing / same-sample UDT code-stacking
CB-17,Module 03 — Coding & Billing Integrity,Prepayment edit maintenance & tuning from emerging vulnerabilities,Preventive,6,Payment,"P10, P11","CMS Pub 100-08 Program Integrity Manual; OIG A-09-21-03021 (2023, OPEN) - psychotherapy/telehealth",REG-041; REG-068,,,Edit tuning,"Providers, billing entities & payers",no,New OIG/GAO/PI finding,Payer PI / edit governance,Prepayment edit library,Edit-change board record,Quarterly,Known vulnerabilities left unedited
CB-18,Module 03 — Coding & Billing Integrity,Pre-submission claim scrubber (provider side),Preventive,6,Payment,"P10, P11",CMS National Correct Coding Initiative (NCCI) Policy Manual; NCCI PTP/MUE pre-payment edits; Medicare Program Integrity Manual (Pub 100-08),,,,Scrubber edits,"Providers, billing entities & payers",no,Claim ready to submit,Revenue-cycle / billing,Claim scrubber,Scrubber edit / clean-claim rate,Per claim,Dirty claims / avoidable denials
CB-19,Module 03 — Coding & Billing Integrity,Coding audit program (statistically valid sampling) + error-rate tracking,Detective,7,Monitoring,"P16, P11","CMS Pub 100-08 Program Integrity Manual; OIG A-09-22-03010 (2023, OPEN) - molecular pathology (CPT 81408)",REG-041; REG-070,,,Sampling,"Providers, billing entities & payers",no,Scheduled audit cycle,Coding compliance / internal audit,Audit workpaper system,Coding-audit report + error rate,Quarterly,Undetected systematic coding error
CB-20,Module 03 — Coding & Billing Integrity,Coding corrective-action & coder-education loop,Corrective,8,Corrective action,"P17, P15",OIG Compliance Program Guidance,,,,Manual / none,"Providers, billing entities & payers",no,Audit finds error trend,Coding compliance lead,LMS / feedback workflow,Corrective-action + re-audit record,Per finding,Repeat errors uncorrected
